文本内容,时间,点赞,评论,转发
【夜读：一个人成长的最好方式，是战胜自己】生活中，我们最大的对手其实是自己。遇事能自省、寻根源、求突破，能够战胜自己，才是一个人获得成长最好的方式。 http://t.cn/A6o3FBiS ???,Wed Nov 09 22:25:38 +0800 2022,1245,567,463
【祝贺！#全锦赛林高远王曼昱混双夺冠#】2022全国乒乓球锦标赛混双决赛，@Eric-林高远 /@王曼昱 4比2 @王楚钦___ /@孙颖莎 获得混双冠军。双方比分不断紧咬，上演高质量对决！感受#全锦赛混双对拉现场#↓↓http://t.cn/A6o3DhaI ???,Wed Nov 09 22:00:08 +0800 2022,6081,621,360
【收好#给7类人的睡眠指南#】睡眠障碍通常分为以下七种类型：①入睡困难；②维持睡眠困难；③早醒；④睡眠不规律；⑤多梦；⑥打鼾和呼吸暂停；⑦主观性失眠。#7种失眠类型你属于哪一种# ？如何保证高质量睡眠？收好这些知识↓↓↓祝你睡个好觉！http://t.cn/A6iHobPa ???,Wed Nov 09 21:17:00 +0800 2022,1013,305,480
【这是#最硬核的红月亮同框#！传递，致敬】昨晚，月全食震撼登场。在静静的军港、威武的军舰、执勤的哨岗，红月亮见证了每一份守护！一组震撼红月亮壁纸↓↓↓收藏，致敬！http://t.cn/A6o3BIiy ???,Wed Nov 09 20:54:46 +0800 2022,2001,351,345
【跃出屏幕的震撼！#裸眼3D看中国航展#】中国航展正在进行时！开启一场沉浸式体验，感受运油-20、歼-20、歼-16的矫健身姿！#沉浸式体验战机飞出屏幕#↓↓ http://t.cn/A6o3Hg9D ???,Wed Nov 09 19:46:10 +0800 2022,1461,260,327
【#长江最初的样子长啥样#？航拍视角见证发源地】中国人一直在寻找长江的源头，到1978年才最终确定，长江发源于各拉丹冬雪山。跟随镜头来到姜根迪如冰川，#航拍长江第一滴水的模样#↓↓ 从这里开始，涓涓细流，穿越草原、峡谷，一路向东，成为浩荡长江。http://t.cn/A6o3SxTj ???,Wed Nov 09 18:55:33 +0800 2022,1235,329,383
【壮美！#秦岭冬日云海大片#】立冬时节，秦岭终南山斑斓山色尽收眼底，流云奔涌，群山尽显巍峨。感受#今年冬天秦岭的第一片云海# ↓↓↓http://t.cn/A6ouzuX6 ???,Wed Nov 09 18:13:08 +0800 2022,1502,417,422
【#用无畏去守卫#！】他们本是和我们一样的普通人，但危难之际，他们却义无反顾地逆行。全国消防日，致敬每一位消防员！逆行向险的你们，愿每次出征，都能平安归来！#致敬消防英雄# ???,Wed Nov 09 17:24:55 +0800 2022,3373,532,630
【#人民空军73周年宣传片#来袭！网友：#硬核画面不需要配文案#】空中视角看三剑客搏击空天。人民空军“生日”在即，感受砺剑空天、奋飞一流的豪情↓↓↓预祝#人民空军73岁生日快乐#！http://t.cn/A6o3o7vJ ???,Wed Nov 09 16:54:38 +0800 2022,1452,235,398
【#中方回应美延续特朗普时期对华禁令#：坚决反对】9日，外交部发言人赵立坚主持记者会。有记者提问，美国白宫宣布决定延续实施特朗普时期颁布的对华禁令，禁止美国人投资与中国军方有关联的中国公司。赵立坚表示，美方延续上届政府错误做法，出于政治目的实施针对所谓中国“涉军企业”的投资禁令，完 ???,Wed Nov 09 16:16:58 +0800 2022,2976,412,340
【又美又飒！#95后直20女飞行员亮相中国航展#】近日，陆军直-20女飞行员徐枫灿亮相第十四届中国航展，在直升机静态展示区为大家解说直-20机型。徐枫灿是我国陆军首个初放单飞的女飞行员。今年高考，她的故事还被编入浙江高考作文题里。网友：实力与颜值并存！http://t.cn/A6ou6AfR ???,Wed Nov 09 15:53:23 +0800 2022,17057,1594,1583
【看着看着就泪目了！#他不是超人却是我们的超级英雄#[心]】今天，全国消防日，把所有的敬意献给他们，更愿每一次出征都平安归来！100秒#致敬消防英雄#↓↓ http://t.cn/A6o3X2R1 ???,Wed Nov 09 15:19:21 +0800 2022,12180,1077,1547
【转需！#2个动作改善弓肩驼背#】经常含胸驼背，不仅影响形象，还会对健康造成隐患。如不及时缓解，久而久之会影响肩颈和背部的健康。2个动作，每天坚持3~5组，改善和预防弓肩驼背体态↓↓ http://t.cn/A6o3xTPt ???,Wed Nov 09 14:55:53 +0800 2022,2827,269,1485
【冷空气来袭！#北方多地将迎今冬首场大范围雨雪# 】据@中国天气 ，受一股较强冷空气影响，明起三天（11月10日至12日），我国北方将出现今冬以来首场大范围雨雪天气，将波及20余个省区市。华北、东北多地有中雨、局地大雨，部分地区还会飘雪，长春、哈尔滨或迎今冬初雪。#本轮大范围雨雪进程图#↓↓ ???,Wed Nov 09 14:18:06 +0800 2022,929,292,226
【且听龙吟！#近距离感受歼20震撼呼啸音#】第十四届中国航展上，两架歼-20上演双机对冲。一段长焦镜头升格拍摄的8K超高清影像，在震撼呼啸声中感受歼-20的飞行之美！#升格镜头看歼20双机对冲#↓↓↓http://t.cn/A6o3qwE4 ???,Wed Nov 09 13:34:14 +0800 2022,7624,779,974
【“抢”出生命通道！#下夜班护士用身体撑开车门救人#】#护士路边一遍遍呼喊伤者保持清醒# “大哥，你要保持清醒！你一定要保持清醒！”11月3日，广东惠州发生一起严重交通事故，车中人员被困，伤势严重。家住附近，刚下夜班在家休息的惠州市第三人民医院护士温伟莲闻讯赶来，与交警合力展开营救，为伤 ???,Wed Nov 09 13:01:31 +0800 2022,4023,330,275
【#这是一条不能燃的视频#！今天，#致敬消防英雄#】我们总是称赞消防员的勇敢、坚强，但再多赞美，都比不上防患于未燃的一个简单动作。119，全国消防日，你我共筑平安↓↓↓ http://t.cn/A6o3qhfw ???,Wed Nov 09 12:11:00 +0800 2022,2543,416,665
【每一帧都是壁纸！#航拍俯瞰桂林山水好像诗意画卷#】由于光风云雨的不断变化，漓江一年之中、一日之内的风景都不尽相同。云山雾海中缓缓升起的红日，烟雨朦胧中的黛色青山，阳光照射下波光粼粼的水面，铺展出一幅幅诗意画卷。#航拍镜头下的漓江如山水秘境#↓↓http://t.cn/A6o3zGRJ ???,Wed Nov 09 11:31:49 +0800 2022,4155,551,1766
【[话筒]#天舟五号近日择机发射#】#天舟五号组合体转运至发射区# 据中国载人航天工程办公室消息，北京时间2022年11月9日，天舟五号货运飞船与长征七号遥六运载火箭组合体垂直转运至发射区。目前，文昌航天发射场设施设备状态良好，后续将按计划开展发射前的各项功能检查、联合测试等工作，计划于近日择 ???,Wed Nov 09 10:48:59 +0800 2022,1452,387,374
【期待！#天舟五号上有航天员乘组要交接的礼物#】今天早上，在文昌航天发射场，#天舟五号组合体正进行垂直转运#。垂直转运也标志着前期在技术区的总装和测试工作已经完成，将正式进入到发射准备阶段。据了解，飞船里面满载着保障神舟十五号航天员进驻空间站之后展开正常工作和生活所必备的物品。除了航 ???,Wed Nov 09 10:38:24 +0800 2022,925,186,194
【航展“零距离”！#直播看珠海航展上的国之重器#】第十四届中国国际航空航天博览会正在举行。航展第二天，@人民日报 继续全方位直击航展现场。看国之重器共舞苍穹，感受现场震撼声浪；与国产“高精尖”武器装备“零距离”接触↓↓↓戳直播感受！  http://t.cn/A6o3Zrfc ???,Wed Nov 09 10:05:02 +0800 2022,1300,186,204
【从解放军变身蓝朋友！#退伍大学生毕业后圆了消防员梦#】#从解放军变身消防员什么体验#？26岁的王曙郡曾是中国人民解放军东部战区的一名退伍军人，退伍后回到学校继续学业。去年毕业后，他选择投身消防队伍，经过1年岗前培训，于今年11月正式成为当地消防救援站首位大学生队员。http://t.cn/A6o3PMzK ???,Wed Nov 09 09:52:20 +0800 2022,1388,199,192
【#11月8日新增1294例本土确诊# #11月8日新增6882例本土无症状#】11月8日0―24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例1346例。其中境外输入病例52例（广东16例，福建12例，北京6例，天津4例，上海3例，浙江3例，四川3例，云南3例，江苏2例），含5例由无症状感染者转为确诊病 ???,Wed Nov 09 09:03:15 +0800 2022,881,345,237
"【错过的收藏！#浪漫月全食全过程回顾#[心]】11月8日，天宇上演一次精彩的月全食。月全食的过程分为初亏、食既、食甚、生光、复圆五个阶段，其中食既到生光为全食阶段，也就是民间俗称的“红月亮”。昨晚没看到的，戳视频↓↓
http://t.cn/A6ouklF5 ???",Wed Nov 09 08:36:18 +0800 2022,2540,597,1079
【#消防员的日常藏在这9个字里#】他们是帅气的火焰蓝，是勇敢的逆行者。面对危险，他们不怕苦累，一直冲锋在前。他们很强，又总是很暖。11月9日是全国消防日，#9个字致敬中国消防员#↓↓ ???,Wed Nov 09 07:57:43 +0800 2022,3017,834,1203
【今天，发条微博，#致敬消防英雄#[心]】烈焰火海中，他们选择逆行；高空险境里，他们选择冲锋；洪水滔天时，他们选择坚守。他们并不是生来勇敢，赴汤蹈火，只为护你周全。今天，全国消防日，#90秒混剪火焰蓝逆行瞬间#↓↓转发传递，愿每次出征，都能平安归来！ http://t.cn/A6oud3Dj ???,Wed Nov 09 07:20:44 +0800 2022,4756,1083,1819
【人生的智慧，藏在一点一滴的生活中】人生路上处处皆风景，生活点滴处处有智慧。聪明是一种能力，而智慧是一种格局。珍惜时光、放宽心态，过好当下的每分每秒；懂得取舍、量力而行，把握好自我成长的节奏；踔厉奋发、笃行不怠，怀奋斗之心，砥砺前行。愿你不负韶华，活出属于自己的精彩。早安！ ???,Wed Nov 09 06:59:24 +0800 2022,4081,1675,2538
【#你好，明天#】第23个中国记者节翩然而至。从纸到端，再到矩阵，无论怎么变，记者的初心没有变。他们用情讲述中国故事，他们也是中国故事的见证者。保持人民情怀，记录伟大时代，他们把新闻现场当作主场，用力践行新闻理想。今天，送他们上一次头条！ ???,Tue Nov 08 23:03:43 +0800 2022,2501,629,458
【夜读：让人保持清醒的三句话】①成功从来不是偶然。那些成长的磨砺、奋斗的汗水，都将化作你的底气和格局。②舒适圈并不会永远舒适。把人生的圆画大一点，以后回头看，里面会是更广阔更丰富的内容。③找到对的位置，努力发光。要相信，那个执着努力的你，总有闪闪发光的一天。 http://t.cn/A6ouCOpa ???,Tue Nov 08 22:36:25 +0800 2022,4027,1374,1486
【记者左潇：踔厉奋发 勇毅前行】#好记者讲好故事#节目中，记者左潇讲述了人民日报社新媒体中心浏览量超10亿的军装照H5、快闪店“时光博物馆”、“带着我的梦想上天宫”征集活动等新媒体报道。左潇表示，自信自强、守正创新，踔厉奋发、勇毅前行，是每位新闻工作者的心声。 http://t.cn/A6oua9Ui ???,Tue Nov 08 21:38:14 +0800 2022,1435,279,305
【#故宫红月亮#】当月全食“红月亮”遇上夜色里的故宫，一起感受世间万物的神奇和浪漫！温馨提示：点击查看原图再保存！#故宫月全食拍了拍你##月全食# @故宫博物院 ???,Tue Nov 08 20:48:45 +0800 2022,48599,4448,9113
【今夜，#飞机掠过红月亮#】11月8日晚，#月全食#“红月亮”现身夜空，一架飞机飞过月亮。今晚，你看到“红月亮”了吗？ http://t.cn/A6ouIMq4 ???,Tue Nov 08 20:26:54 +0800 2022,7356,694,1147
【#今天记者节#，听好记者讲好故事】今晚，人民日报记者左潇等10位来自全国新闻战线的“好记者”，分享非凡十年的动人故事，讲述新闻报道中的真心感悟。以话筒陈说事件要点，用镜头直击新闻现场，《好记者讲好故事――2022年中国记者节特别节目》，一起关注！  http://t.cn/A6oucY6z ???,Tue Nov 08 20:07:12 +0800 2022,1303,139,231
【感动！#张桂梅成了连环画里的女主角#】2008年，公办免费女子高中华坪女高建成，并迎来第一批100名贫困女生。张桂梅说，女高不是普通学校，而是贫困家庭未来的希望。自建校以来，1800多名女生从这里走出大山，走入大学。夏森、黄文秀、毛相林……这样的脱贫故事还有很多↓↓http://t.cn/A6oEw9zw ???,Tue Nov 08 19:50:08 +0800 2022,1944,233,481
【穿越式升温！#湖南江西气温冲击30度#】本周，我国南方大部升温显著，多地累积升温达8至10℃，湖南、江西、广西、广东局地将冲击30℃，暖如秋分。网友直呼：#立冬立了个寂寞#。升温后，昼夜温差也将逐渐拉大到10℃以上，小伙伴们早晚时段要注意保暖，推荐“洋葱式”穿衣法，及时增减衣物。@中国天气 ???,Tue Nov 08 19:04:53 +0800 2022,1449,414,260
【习近平视察军委联合作战指挥中心：#全面加强练兵备战#】中共中央总书记、国家主席、中央军委主席、军委联指总指挥习近平8日视察军委联合作战指挥中心，表明新一届军委贯彻落实党的二十大精神、全面加强练兵备战的鲜明态度。他强调，全军要全部精力向打仗聚焦，全部工作向打仗用劲，加快提高打赢能力 ???,Tue Nov 08 18:57:08 +0800 2022,1528,185,371
#月全食#【正在直播：#月全食遇上天王星#】月食是每年最受关注的天象之一，其中月全食最为好看，民间称之为“红月亮”。经预测，今晚是一次极佳的观赏月食天象的机遇。月食初亏的时间预测为当日17时9分，复圆时间为20时49分。@人民日报 和你一起守候年度最佳天象#红月亮直播#！http://t.cn/A6ouwp8W ???,Tue Nov 08 17:54:02 +0800 2022,21394,1402,2559
【谁持彩练当空舞？空军“八一”飞行表演队来了！】11月8日，广东珠海，2022珠海航展正式开幕，空军“八一”飞行表演队呈现精彩表演。一个个高难度动作，一缕缕飞出的彩烟，带来超震撼视觉盛宴。????收藏#八一飞行表演队拉彩烟壁纸#，看#八一飞行表演队演绎谁持彩练当空舞#！ ???,Tue Nov 08 17:25:05 +0800 2022,2045,367,486
#月全食#【正在直播：年度最佳天象#红月亮直播#】11月8日，将发生今年最值得期待的天象――月全食。我国大部分地区可见，东北地区可以看到全过程，其他地区可见带食月出现象。过程中，还将发生极罕见的“月全食掩天王星”现象。今晚，#多地共赏月全食#，@人民日报 和你一起守候！http://t.cn/A6ou7iZN ???,Tue Nov 08 16:57:04 +0800 2022,38312,2154,4276
【一起体验元宇宙！#直播探访进博会技术装备展#】#第五届进口博览会#正在举行。@人民日报 记者走进进博会技术装备展区，带你体验“元宇宙”、虚拟现实、增强现实等最新科技！戳直播↓↓  http://t.cn/A6ouvycf ???,Tue Nov 08 16:00:29 +0800 2022,676,151,209
【星耀全球！#9个数字了解中国北斗#】2020年6月23日9时43分，北斗三号最后一颗全球组网卫星送上太空。至此，北斗三号全球卫星导航系统星座部署全面完成，北斗卫星导航系统终于迈入全球时代！《新时代的中国北斗》近日白皮书发布，戳↓↓一组数字了解北斗发展成就和未来愿景！http://t.cn/A6omFmTf ???,Tue Nov 08 15:35:19 +0800 2022,1386,431,943
【谢谢你们！#他们深夜翻垃圾桶帮白血病女孩找回药#[心]】近日，浙江杭州，综合行政执法局队员接到一位10岁左右女孩求助。小女孩身患白血病，和父亲一起来杭州求医，不慎遗失价值千元的药品。经过仔细寻找均一无所获后，队员们开始翻垃圾箱，最终帮小女孩找到了遗失的药物。http://t.cn/A6omNrFa ???,Tue Nov 08 14:47:17 +0800 2022,3075,330,275
【#2个动作提升肩关节稳定性#】抬胳膊时如有肩膀弹响、酸痛、发麻，甚至习惯性脱臼等问题，说明肩关节稳定性差，不加以注意会导致关节活动度受限，影响正常生活。#2个动作加强肩部力量#↓↓↓练起来~http://t.cn/A6om0hgb ???,Tue Nov 08 13:57:20 +0800 2022,1244,239,571
【超震撼！#歼20一分钟内展示多个战术动作#】第14届中国航展飞行表演中，歼-20在空中垂直跃升、急转向、连续横滚，不到1分钟，接连完成多个战术动作！网友：#有被歼20空中连续炫技帅到#！http://t.cn/A6om8hIE ???,Tue Nov 08 13:23:11 +0800 2022,2051,325,478
#今天记者节#【我们是中国记者！致敬每一份理想和担当】我们从战火硝烟中走来，为了救国图存。我们在风云激荡中前行，为了真理之光。飞跃四海、走向世界，奔赴山海、深入人民……新时代新征程，中国记者开启光荣和梦想的新远征↓↓↓（中国记协） http://t.cn/A6ommr2r ???,Tue Nov 08 12:41:20 +0800 2022,2996,443,1013
【#秋日雪山环抱湖水宛如天空之镜#[心]】在深秋时节，四川党岭层林尽染，参天古树苍黄静谧。白雪覆盖下的群山环抱着翡翠色的湖水，天空、雪山、树木倒映在其中，水天一色，如梦如幻，恍若仙境。http://t.cn/A6omlYVZ ???,Tue Nov 08 11:52:15 +0800 2022,1790,578,644
【超大彩虹圈！#6架歼10化身天空彩虹制造机#】第14届中国航展今天开幕，空军八一飞行表演队带来精彩表演。6架歼-10在天空画出超大彩虹圈，看空中“彩虹”与“胖妞”同框↓↓↓http://t.cn/A6omlQiJ ???,Tue Nov 08 11:13:04 +0800 2022,22279,1866,2231
【转发提醒！#未熄灭烟头无明火也能引燃被子#】#未熄灭的烟头隐患有多大#？香烟燃烧时并没有产生明火，这种无火焰缓慢燃烧现象被称为阴燃，但在适当条件下很快就能引发火灾。消防员模拟居民晾晒，在二楼把未熄灭烟头扔下，五分钟后被子燃起明火。119全国消防日将至，防患于未然！http://t.cn/A6omXiUU ???,Tue Nov 08 10:35:09 +0800 2022,908,261,331
【收藏光影大片！#歼20歼16歼10C夜间实战高清图#】10月下旬，驻西北大漠腹地的空军某部歼-20、歼-16、歼-10C三型战机连续进行多场跨昼夜飞行训练。#空中三剑客战机暗夜出击大片#↓↓↓网友：这光影绝了！（中国军号） ???,Tue Nov 08 09:58:35 +0800 2022,1863,482,575
【一睹为快！#直播看珠海航展开幕日#】今天是第十四届中国国际航空航天博览会开幕日，@人民日报 联动@中国军视网?，将直播空中飞行表演、地面动态演示全过程，带你一起打卡室外飞机展区。#2022珠海航展今天开幕#，戳直播感受↓↓  http://t.cn/A6omCX2e ???,Tue Nov 08 09:26:31 +0800 2022,1617,225,305
【#11月7日新增843例本土确诊# #11月7日新增6632例本土无症状#】11月7日0―24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例890例。其中境外输入病例47例（福建12例，广东12例，四川8例，北京5例，天津3例，上海3例，辽宁2例，江苏1例，山东1例），含2例由无症状感染者转为确诊病例 ???,Tue Nov 08 08:59:56 +0800 2022,927,324,206
【好样的！#90后小伙徒手接坠楼6岁男童#[赞]】近日，广东怀集一名6岁男童不慎从三楼坠落。危急时刻，29岁小伙李明林立即冲上前伸出双手去接孩子。经检查，孩子无大碍。由于救人时冲击力太大，李明林右手肌肉拉伤，他说：“这没什么大不了的，孩子没事最重要。”#看到小孩坠楼他没犹豫就上前伸出手#  ???,Tue Nov 08 08:35:19 +0800 2022,7463,752,550
【就在今晚！#红月亮遇上月掩天王星#】11月8日晚，将迎来月全食，我国大部分地区可见。届时，@人民日报 将开启“红月亮直播”，和你一起守候“红月亮”遇上月掩天王星。戳↓↓#往年绝美月食先睹为快#！ http://t.cn/A6om61TW ???,Tue Nov 08 08:03:14 +0800 2022,4280,954,1584
【#今天记者节#，致敬所有好记者】铁肩担道义，妙笔著文章。他们在第一时间抵达前线，在每一个新闻现场倾听、记录、发声......与时代同行，为历史注脚，今天，第23个中国记者节，向每一位不忘初心的记者致敬！ ???,Tue Nov 08 07:31:03 +0800 2022,9128,1364,3035
【天冷了，愿你的世界，阳光温柔】立冬已过，寒冷的冬天，对遇到的人发出一声问候，传递一个笑容，一定会温暖人心。阳光好的时候晒晒被子，出门散散步；与家人朋友一起围炉夜话，品尝冬季美食；拥抱自己，热爱生活，记录美好……18件冬季自我治愈的小事↓↓一起解锁冬日生活独有的温暖色彩。早安！ ???,Tue Nov 08 07:00:04 +0800 2022,4147,2008,2947
【#你好，明天#】第14届中国航展明天开幕，“20家族”将集体亮相。无论是彩虹无人机家族首次全谱系亮相，还是攻击-2无人机将首次飞行展示，一个个首次都振奋人心，令人翘首以待。“军迷期待什么，我们知道，这也是我们的使命”，展现强军志，塑造民族魂，凝聚中国心，威武霸气！http://t.cn/A6onz8a1 ???,Mon Nov 07 23:01:51 +0800 2022,1988,720,590
【夜读：做对这些事，每天进步一点点】①要专注，每一小步都很重要；②用心做事才能把事情做好；③当你习惯总结经验，就能增加对生活的掌控感；④保持进取，去迎接更优秀的自己；⑤要有歇足调整的底气，也有一往无前的勇气。 http://t.cn/A6onsxzQ ???,Mon Nov 07 22:20:22 +0800 2022,3094,1364,1472
【又燃又帅！#2022珠海航展双语宣传片#】中国航空工业发布航展主题宣传片《翼起，向未来》。明天，珠海航展将开幕。一起期待！↓↓（航空工业） http://t.cn/A6onDB36 ???,Mon Nov 07 21:46:59 +0800 2022,3530,559,907
【秋意遇上诗意！#陕师大老教授手写银杏叶书签#送学生】11月6日，陕西西安。@陕西师范大学 举行手写银杏叶活动，同学们收集了喜欢的银杏叶，老教授们在叶片写上寄语，并盖上陕师大的印章，留住秋天的美好。http://t.cn/A6onavsC ???,Mon Nov 07 20:59:34 +0800 2022,2873,556,481
【现场视频来了！#八一飞行表演队拉彩烟#训练实拍】7日，在珠海国际航展中心，中国空军“八一”飞行表演队驾驶歼-10战机进行特技飞行拉彩烟训练。#歼10拉彩烟训练太震撼#↓↓珠海航展明天开幕，期待！http://t.cn/A6onCrzM ???,Mon Nov 07 20:22:12 +0800 2022,1544,333,326
【壮观！#立冬日壶口瀑布遇见绝美彩虹#】今日立冬，来自黄河壶口瀑布的惊涛吹响了冬天的序曲。在阳光的照射下，悬流激荡中显现的彩虹跨越在瀑布之上，美妙绝伦。一起看美景↓↓http://t.cn/A6onTKKF ???,Mon Nov 07 19:51:37 +0800 2022,1713,467,615
【#残疾兄弟用棕榈叶编小动物栩栩如生# 网友：超酷的】杭州一夜市摊位上，摆着用棕榈叶手编的知了、蜗牛、公鸡等。摊主是一对表兄弟，哥哥17年前意外烧伤，失去了一只手；弟弟12年前因为车祸失去双腿。两人曾找师傅学了几个月的编织。如今杭州为兄弟俩提供免费的爱心摊位，这几天下来，每晚能挣四五百 ???,Mon Nov 07 19:07:37 +0800 2022,4511,439,399
【震撼视角！#神州大地美成了壁纸#】陪珠峰迎接清晨第一缕光，见证自然伟力创造的一件件杰作，邂逅奇妙生灵，穿过云山雾海，听见江河澎湃！#3分钟航拍中国#↓↓每一帧都是壁纸！ http://t.cn/A6onODqN ???,Mon Nov 07 18:28:42 +0800 2022,2825,397,1602
【#登上福建舰机会来了#！#2023年度海军招飞#简章发布】想登上福建舰吗？想成为舰载机飞行员吗？想驾驶歼-15在航母上着舰吗？机会来了！登录“海军招飞网”（http://t.cn/RzoCo2Q），身披海军蓝，加入浪花白，人民海军欢迎你。报考需要什么条件？有哪些流程？详戳→http://t.cn/A6on6gVQ转需，周知！  ???,Mon Nov 07 17:50:08 +0800 2022,1244,233,265
【明晚迎来月全食！收好这份#红月亮观看攻略#】月食是每年最受人们关注的天象之一，其中月全食最为好看，民间称之为“红月亮”。11月8日晚，将迎来月全食。本次“红月亮”遇上月掩天王星，该怎么看？攻略收好↓↓明天，@人民日报 将开启#红月亮直播#，一起关注。 http://t.cn/A6onKN8G ???,Mon Nov 07 17:13:03 +0800 2022,23034,2459,4823
